StockfishMove,StockfishCPL,AlphaZeroMove,#ActionTaken
g6g5,75,g6g5,0.6718078
f8h6,45,g8h6,0.0459398
b8d7,45,h7h6,0.0459398
b8c6,20,a6a5,0.0459398
a6a5,0,e7e5,0.0459398
e7e6,-20,b8d7,0.0206333
e7e5,-38,f8g7,0.0206333
g8h6,-69,b8c6,0.0206333
h7h5,-75,e7e6,0.0206333
h7h6,-115,g8f6,0.0206333
g8f6,-999988,f8h6,0.0206333
f8g7,-999989,h7h5,0.0206333
